sku,upc,name,brand,department,category,sub_category,collection,size,color_name,color_hex,material,fit_type,cost,retail_price,msrp,short_description,long_description,image_uri,alt_text
229384,840348129384,Asymmetrical Rib-Knit Midi Dress,Maison Onyx,Women,Apparel,Dress,Evening Edit,Medium,Black,#000000,Ribbed Knit,Bodycon,28.5,59.99,78,"Make a statement in this elegant black rib-knit midi dress. Featuring a modern asymmetrical neckline and a daring side slit, this dress offers a sophisticated and form-fitting silhouette.","Crafted from a comfortable stretch rib-knit fabric, this stunning black midi dress is designed to hug your curves. The unique asymmetrical neckline combines a single strap with an off-the-shoulder detail for a contemporary look. Long sleeves provide coverage, while the thigh-high side slit adds a touch of allure. Perfect for date nights, cocktail parties, or any special occasion, this bodycon dress is a versatile and timeless addition to your wardrobe.",https://storage.googleapis.com/<your-artifacts-bucket>/products/229384.png,A black long-sleeve rib-knit midi dress with an asymmetrical one-shoulder neckline and a thigh-high slit.
555734,198765432109,Galaxy Glow Glitter Mini Dress,Maison Onyx,Women,Apparel,Dress,Cosmic Nights Collection,Medium,Rainbow Glitter,#8A2BE2,Glitter Mesh,Bodycon,22.5,44.99,59.99,Shine like a galaxy in this stunning rainbow glitter mini dress. Perfect for nights out and special occasions.,"Steal the spotlight in our Galaxy Glow Glitter Mini Dress. This eye-catching bodycon dress features a vibrant, iridescent rainbow pattern on a shimmering mesh fabric. Designed with delicate spaghetti straps and a flattering slim fit, it hugs your curves in all the right places. The double-layered construction provides coverage while maintaining a lightweight feel. Ideal for parties, clubs, or any event where you want to make a dazzling impression. Pair it with your favorite heels for an unforgettable look.",https://storage.googleapis.com/<your-artifacts-bucket>/products/555734.png,Front view of a bodycon spaghetti strap mini dress in a shimmering rainbow glitter fabric.
654567,198765432109,Lavender Ruched Strapless Mini Dress,Maison Onyx,Women,Apparel,Dress,Summer Soiree,Medium,Lavender,#C8A2C8,Polyester/Spandex Blend,Bodycon,19.99,42.5,55,A stunning strapless bodycon mini dress in a beautiful lavender hue. Features adjustable ruching with drawstrings on the sides for a customizable and flattering fit.,"Step out in style with our Lavender Ruched Strapless Mini Dress. This eye-catching piece is designed to hug your curves in all the right places. Made from a soft and stretchy fabric, it ensures both comfort and a flawless silhouette. The dress features a classic strapless neckline and intricate ruching down the sides, which can be adjusted with drawstrings to create your desired look and length. Perfect for parties, date nights, or any event where you want to make a statement. Pair it with heels and delicate jewelry for an unforgettable ensemble.",https://storage.googleapis.com/<your-artifacts-bucket>/products/654567.png,Front view of a lavender strapless bodycon mini dress with ruched sides and adjustable drawstrings.
234893,195583749201,Pearl Embellished Tweed Jacket,Maison Onyx,Women,Apparel,Outerwear,Métiers d'Art 2023,Medium,Ecru/Black,#F5F5DC,Tweed,Classic Fit,180,450,495,"An iconic tweed jacket in black and white, featuring exquisite pearl trim along the collar, placket, and hem, finished with signature gold-tone buttons.","Embodying timeless elegance, thisjacket is crafted from a luxurious black and white tweed fabric. The classic, collarless silhouette is enhanced with intricate pearl detailing along the round neckline, central placket, cuffs, and hem. Four patch pockets and the front closure are adorned with ornate, textured gold-tone buttons. This piece is a testament to the house's legendary craftsmanship and an essential addition to any sophisticated wardrobe.",https://storage.googleapis.com/<your-artifacts-bucket>/products/234893.png,Black and white tweed jacket with pearl and gold button embellishments.
292929,195551292929,Pink Tweed Jacket,Modern Muse,Women,Apparel,Outerwear,Ready-to-Wear,Medium,Light Pink,#F7C4C8,Tweed,Classic Fit,180,450,495,"An iconic tweed jacket in a soft light pink hue. This timeless piece features a classic collarless silhouette, intricate braided trim, and signature gold-tone CC logo buttons.","Crafted with the legendary savoir-faire of the House of , this jacket is a masterpiece of textile and tailoring. Made from a luxurious light pink tweed, it offers a structured yet comfortable fit. The design is distinguished by its clean, collarless neckline, button-front closure, and four practical patch pockets. Delicate braided trim elegantly outlines the collar, placket, cuffs, and pockets, adding texture and refinement. Each gold-tone button is adorned with the iconic interlocking CC logo, making this jacket an unmistakable symbol of Parisian elegance.",https://storage.googleapis.com/<your-artifacts-bucket>/products/292929.png,"Front view of a  light pink tweed jacket with a collarless design, braided trim, and four patch pockets with gold logo buttons."
684321,850044123456,Striped Bateau Neck Crop Top,Aurum,Women,Apparel,Top,Modern Classics,Medium,Black/White,#000000,Cotton Blend,Cropped,22.5,49.99,58,A classic black and white striped crop top featuring an elegant bateau neckline and three-quarter sleeves. A timeless piece for any modern wardrobe.,"Embrace timeless Parisian chic with our Striped Bateau Neck Crop Top. Crafted from a soft and comfortable cotton blend knit, this top offers a relaxed, slightly boxy fit that is both modern and comfortable. It features classic black and white horizontal stripes, an elegant bateau neckline that gracefully frames the collarbones, and versatile three-quarter length sleeves. The cropped hemline pairs perfectly with high-waisted jeans, skirts, or trousers for a polished yet effortless look. A versatile staple you'll reach for season after season.",https://storage.googleapis.com/<your-artifacts-bucket>/products/684321.png,"Women's black and white striped bateau neck crop top with three-quarter sleeves, shown on a white background."
119928,840351899234,Floral V-Neck Button-Front Dress,Maison Onyx,Women,Apparel,Dress,Spring Garden Party,Medium,Black Floral,#000000,Viscose,Fit and Flare,29.75,62.5,78,"A charming black midi dress featuring a romantic rose floral print, a V-neckline, and a classic button-front design.","Step into effortless style with our Floral V-Neck Button-Front Dress. This piece features a timeless black background adorned with a lovely print of pink and white roses. Designed with a flattering V-neck, delicate cap sleeves, and a full button-front placket, this midi-length dress offers a perfect blend of comfort and chic sophistication. The lightweight viscose fabric ensures a beautiful drape, making it an ideal choice for brunches, day events, or warm-weather evenings.",https://storage.googleapis.com/<your-artifacts-bucket>/products/119928.png,"A woman's black V-neck, cap sleeve, button-front midi dress with a pink and white rose floral print."
492834,850043219876,Pink Geometric Print Mock Neck Midi Dress,Maison Onyx,Women,Apparel,Dress,Autumn Bloom 2023,Medium,Fuchsia Kaleidoscope,#D94A8C,Satin,Fit and Flare,98.5,210,245,"A vibrant midi dress featuring a striking geometric print in shades of pink, a sophisticated mock neck, and elegant long bishop sleeves.","Turn heads in this beautifully designed midi dress. It is crafted from a smooth satin fabric that drapes elegantly over the body. The dress features a chic mock neck, a fitted waist that flows into an A-line skirt, and romantic long bishop sleeves with detailed buttoned cuffs. The bold, kaleidoscopic geometric print in fuchsia, pink, and deep magenta makes this a perfect statement piece for special occasions, brunches, or evening events.",https://storage.googleapis.com/<your-artifacts-bucket>/products/492834.png,"Front view of a pink geometric print midi dress with a high mock neck, long bishop sleeves with buttoned cuffs, and an A-line silhouette."
543444,850058310921,Floral Lace V-Neck Mini Dress,Maison Onyx,Women,Apparel,Dress,Summer Garden Party,Medium,Black Multi Floral,#000000,Rayon with Lace Trim,Fit and Flare,22.5,49.99,68,A charming and romantic floral mini dress featuring a deep V-neck and elegant black lace detailing.,"Fall in love with this beautifully designed floral mini dress. It features a vibrant, multi-colored floral pattern set against a classic black background. The flattering fit-and-flare silhouette is enhanced by delicate black lace trim along the plunging V-neckline, cap sleeves, and empire waist. Made from a lightweight and breathable fabric, this dress is perfect for warm weather occasions, from daytime outings to evening events.",https://storage.googleapis.com/<your-artifacts-bucket>/products/543444.png,"Women's black floral print mini dress with a deep V-neckline and black lace trim on the neckline, sleeves, and waist."
634234,198765432109,Floral Puff Sleeve Mini Dress,Aurum,Women,Apparel,Dress,Spring Blossom Collection,Medium,Pink Multi Floral,#E6C0C1,Jacquard,Fitted,90,180,225,"A charming floral mini dress featuring elegant puff sleeves and a flattering fitted silhouette, perfect for spring occasions.","Embrace romantic style with our Floral Puff Sleeve Mini Dress. Crafted from a beautiful floral jacquard fabric, this dress boasts a delicate color palette of pink, yellow, and red. The statement puff sleeves add a touch of modern drama, while the fitted bodice and A-line skirt create a timelessly feminine silhouette. A concealed back zipper ensures a seamless fit. Ideal for garden parties, brunches, or any special event, this dress is a standout piece for your wardrobe.",https://storage.googleapis.com/<your-artifacts-bucket>/products/634234.png,Front view of a women's pink floral mini dress with short puff sleeves.
194821,840344194821,Quilted Faux Leather Chain Belt Shorts,Maison Onyx,Women,Apparel,Bottom,Midnight Glam,Medium,Black,#000000,Faux Leather,High-Waist,45.75,99.99,125,"Elevate your style with these chic black shorts, featuring a sophisticated quilted design and a striking gold-tone chain belt.","Crafted from supple faux leather, these high-waisted shorts showcase a classic diamond quilt pattern for a luxurious texture. The design is cinched at the waist with an integrated belt, highlighted by a bold, gold-tone curb chain at the front. These shorts offer a flattering fit and are perfect for creating an edgy, fashion-forward look for a night out or special event. Pair them with a sleek bodysuit and heels to complete the ensemble.",https://storage.googleapis.com/<your-artifacts-bucket>/products/194821.png,Women's black high-waisted quilted faux leather shorts with an integrated belt featuring a gold chain detail.
555877,195847362951,Sutton Classic Riding Boot,Maison Onyx,Women,Apparel,Footwear,Equestrian Elegance,Medium,Cognac,#834333,Full-Grain Leather,Knee-High,145.5,299.99,349.99,"A timeless knee-high riding boot crafted from rich, full-grain leather for a sophisticated and classic look.","Step out in style with the Sutton Classic Riding Boot. This elegant knee-high boot is meticulously crafted from premium full-grain leather in a warm cognac hue. Featuring a sleek silhouette, a comfortable low block heel, and a convenient pull-tab at the top, this boot combines timeless equestrian style with modern comfort. The durable construction and classic design make it a versatile staple for any wardrobe, perfect for pairing with jeans, leggings, or dresses.",https://storage.googleapis.com/<your-artifacts-bucket>/products/555877.png,"Profile view of a women's knee-high riding boot in cognac brown leather with a low heel, against a white background."
554345,198765432109,Tweed Pencil Skirt,Modern Muse,Women,Apparel,Bottom,Autumn Elegance,Medium,Cream Multi,#F5F5DC,Tweed,Pencil,42.5,89.99,110,"A classic high-waisted pencil skirt crafted from textured tweed, perfect for sophisticated office or evening wear.","Elevate your wardrobe with our timeless Tweed Pencil Skirt. This piece is beautifully constructed from a high-quality, textured tweed fabric in a versatile cream multi-color weave. The flattering high-waist and pencil silhouette create a polished and professional look that transitions effortlessly from day to night. Featuring a concealed back zipper for a smooth fit, this skirt is a must-have for any modern classic collection. Pair it with a crisp blouse or a fine-knit sweater for an elegant ensemble.",https://storage.googleapis.com/<your-artifacts-bucket>/products/554345.png,Front view of a high-waisted tweed pencil skirt in a cream and beige pattern.
199902,850062451893,Silk and Lace Camisole,Maison Onyx,Women,Apparel,Top,Seraphina,Medium,Champagne,#F7E7CE,"Silk, Lace",Regular,25.5,54.99,68,"A luxurious silk camisole adorned with intricate lace trim, perfect for sleep or elegant layering.","Experience everyday luxury with our Silk and Lace Camisole. Crafted from smooth, lustrous silk, this piece feels incredibly soft against the skin. It is beautifully designed with delicate, scalloped lace detailing on the v-neckline and hem, adding a touch of romantic femininity. The adjustable spaghetti straps provide a customizable and comfortable fit. This versatile camisole can be worn as elegant sleepwear or layered under a blazer for a sophisticated day-to-night ensemble.",https://storage.googleapis.com/<your-artifacts-bucket>/products/199902.png,"A champagne-colored silk camisole with delicate lace trim along the v-neckline and hem, featuring thin adjustable straps."
583944,840350112345,Unisex Fleece Jogger Sweatpants,Volt,Unisex,Apparel,Bottom,Core Activewear,Medium,Charcoal Gray,#5A5A5A,Fleece,Regular,21.5,45.99,55,"Classic fleece jogger sweatpants in a versatile charcoal gray, featuring a comfortable drawstring waist and cuffed ankles.","Stay comfortable and stylish with our Unisex Fleece Jogger Sweatpants. Made from a soft and warm fleece material, these pants are perfect for lounging, working out, or running errands. They feature an adjustable drawstring for a custom fit, convenient side pockets, and elastic-cuffed ankles for a modern jogger silhouette. The classic charcoal gray color makes them a versatile addition to any casual wardrobe.",https://storage.googleapis.com/<your-artifacts-bucket>/products/583944.png,Front view of charcoal gray fleece jogger sweatpants with a drawstring waist and elastic cuffs.
335234,850055123456,Kaleidoscope Geometric Print Shirt,Neon & Co.,Men,Apparel,Top,Vibrant Geometry,Medium,Multicolor,#D42D3A,100% Cotton,Regular Fit,35,72.5,85,A vibrant and eye-catching long-sleeve shirt featuring a bold geometric diamond pattern in primary colors.,"Make a bold statement with our Kaleidoscope Geometric Print Shirt. Crafted from comfortable and breathable 100% cotton, this shirt is perfect for all-day wear. It features a striking all-over geometric pattern of diamonds and lines in a vivid palette of red, blue, and yellow. Designed with a classic point collar, full button-front closure, and long sleeves with buttoned cuffs, this regular fit shirt offers a timeless silhouette with a modern, artistic twist. Ideal for casual outings, parties, or any occasion where you want to stand out.",https://storage.googleapis.com/<your-artifacts-bucket>/products/335234.png,"Men's long-sleeve button-down shirt with a colorful geometric diamond pattern in red, blue, and yellow."
192844,840348192844,Geometric Print Satin Shirtdress,Modern Muse,Women,Apparel,Dress,Modern Elegance,Medium,Cream/Grey,#F3EFE9,Satin,Regular Fit,135,275,325,"A sophisticated long-sleeve shirtdress crafted from smooth satin, featuring a striking geometric print and a self-tie belt to cinch the waist.","This elegant shirtdress is designed for a timeless appeal. It's crafted from a fluid satin fabric that drapes beautifully. The dress features a classic point collar, a full button-down front, and long sleeves with cuffed ends. A bold geometric print covers the entirety of the dress, offering a modern, graphic look. A matching fabric belt allows you to define your silhouette. The knee-length cut and curved hem make it a versatile piece for both professional settings and special occasions.",https://storage.googleapis.com/<your-artifacts-bucket>/products/192844.png,Women's long-sleeve collared shirtdress in a cream and grey geometric pattern with a matching belt.
349022,850051123456,Emerald Green Satin High-Neck Blouse,Modern Muse,Women,Apparel,Top,Evening Elegance,Medium,Emerald Green,#00573D,Satin,Regular Fit,45.5,95,120,"An elegant high-neck blouse crafted from luxurious emerald green satin, perfect for sophisticated day-to-night looks.","Exude timeless elegance with our High-Neck Satin Blouse. Cut from lustrous emerald green satin, this piece features a sophisticated mock turtleneck with delicate button accents and soft gathering for a flattering drape. The long blouson sleeves are finished with wide, structured cuffs, adding a touch of classic drama. This versatile top can be dressed up with a tailored skirt for the office or paired with sleek trousers for an evening out.",https://storage.googleapis.com/<your-artifacts-bucket>/products/349022.png,Front view of an emerald green satin long-sleeve blouse with a high mock neck and button details.
239944,850024681357,Checkered Knit Sweater Vest,Modern Muse,Unisex,Apparel,Top,Fall/Winter 2023,Medium,Black/Cream,#F5F5DC,Wool Blend,Regular Fit,35,70,85,"A classic v-neck sweater vest featuring a bold black and cream checkerboard pattern, perfect for layering.","Stay warm and stylish with this timeless checkered knit sweater vest. Crafted from a soft, comfortable knit fabric, it features a classic v-neckline and ribbed trim along the neck, armholes, and hem. The striking black and cream checkerboard pattern makes a statement, offering a versatile piece that can be dressed up or down. Layer it over a crisp white shirt for a preppy look or a simple t-shirt for a more casual vibe.",https://storage.googleapis.com/<your-artifacts-bucket>/products/239944.png,A black and cream checkered v-neck knit sweater vest laid flat on a white surface.
653444,805673912345,Graffiti Print T-Shirt Dress,Neon & Co.,Women,Apparel,Dress,Summer Streetwear '23,Medium,White,#FFFFFF,Cotton,Relaxed,75.5,149.99,195,"A relaxed-fit t-shirt dress in white cotton, featuring a bold, colorful graffiti-style graphic on the chest and a stylish asymmetric ruched hem.","Embrace urban edge with this comfortable and stylish t-shirt dress. Made from 100% soft cotton, this dress features a classic crew neck and short sleeves for a casual feel. The front is adorned with a vibrant, multi-colored graffiti print, making a bold statement. The design is elevated with a modern, asymmetric ruched detail on the side, leading to a subtle side slit for added style and movement. This dress offers a relaxed fit, perfect for everyday wear or making an impression.",https://storage.googleapis.com/<your-artifacts-bucket>/products/653444.png,Women's white t-shirt dress with a colorful graffiti logo print on the chest and an asymmetric ruched hem.
725345,198765432109,AuraStep Ventilated Comfort Clogs,Aurum,Unisex,Apparel,Footwear,Summer Comfort,Medium,Sand,#D2B48C,EVA Foam,Relaxed,22.5,44.99,59.99,"Lightweight, breathable, and incredibly comfortable. The perfect slip-on for any casual occasion, crafted from durable EVA foam.","Discover ultimate comfort and breathability with our Ventilated Comfort Clogs. Crafted from a single piece of durable and lightweight EVA foam, these clogs are designed for all-day wear. The strategically placed ventilation ports across the top and sides keep your feet cool and help shed water and debris, making them ideal for the beach, garden, or just lounging around. The slip-on, backless design and roomy fit ensure easy on-and-off, while the contoured footbed provides gentle support. Easy to clean and quick to dry, these clogs will quickly become your go-to footwear choice.",https://storage.googleapis.com/<your-artifacts-bucket>/products/725345.png,A pair of sand-colored ventilated foam clogs shown at a three-quarter angle on a white background.
192834,840364192834,Relaxed Fit Cargo Pants,Modern Muse,Unisex,Apparel,Bottom,Core Essentials 2024,Medium,Olive Green,#7A755A,Cotton Twill,Relaxed Fit,29.5,65,78,"Durable and functional cargo pants crafted from sturdy cotton twill, featuring a relaxed fit and ample pocket space for everyday utility.","Meet your new go-to pants for any occasion. The Urban Expedition Relaxed Fit Cargo Pants are designed for durability, comfort, and timeless style. Made from a high-quality cotton twill fabric, these pants can withstand daily wear while maintaining a comfortable feel. The relaxed fit provides ease of movement, and the multiple large cargo pockets on the legs offer practical storage for all your essentials. The classic olive green color makes them incredibly versatile, easy to pair with anything from a simple t-shirt to a button-down shirt. Finished with a zip fly and button closure, these pants blend utilitarian design with modern aesthetics.",https://storage.googleapis.com/<your-artifacts-bucket>/products/192834.png,"Front view of olive green relaxed fit cargo pants with multiple pockets, on a white background."
192833,840364192833,Relaxed Fit Cargo Pants,Volt,Unisex,Apparel,Bottom,Core Essentials 2024,Medium,Olive Green,#7A755A,Cotton Twill,Relaxed Fit,29.5,65,78,"Durable and functional cargo pants crafted from sturdy cotton twill, featuring a relaxed fit and ample pocket space for everyday utility.","Meet your new go-to pants for any occasion. The Urban Expedition Relaxed Fit Cargo Pants are designed for durability, comfort, and timeless style. Made from a high-quality cotton twill fabric, these pants can withstand daily wear while maintaining a comfortable feel. The relaxed fit provides ease of movement, and the multiple large cargo pockets on the legs offer practical storage for all your essentials. The classic olive green color makes them incredibly versatile, easy to pair with anything from a simple t-shirt to a button-down shirt. Finished with a zip fly and button closure, these pants blend utilitarian design with modern aesthetics.",https://storage.googleapis.com/<your-artifacts-bucket>/products/192833.png,"Front view of olive green relaxed fit cargo pants with multiple pockets, on a white background."
667734,198765432109,Relaxed Fit Embroidered Hoodie,Modern Muse,Unisex,Apparel,Top,Core Essentials,Medium,Beige,#C7B9A9,Cotton Blend,Relaxed Fit,42.5,110,110,"A comfortable, relaxed-fit hoodie in a versatile beige color, featuring a drawstring hood, kangaroo pocket, and subtle tonal embroidery on the chest.","Crafted for comfort and style, this beige hoodie is a wardrobe essential. Made from a soft cotton-blend fabric, it features a relaxed fit for easy layering and all-day comfort. The design includes a classic adjustable drawstring hood, a spacious front kangaroo pocket, and ribbed cuffs and hem to lock in warmth. A tonal embroidered logo on the chest adds a subtle, premium touch to this minimalist piece.",https://storage.googleapis.com/<your-artifacts-bucket>/products/667734.png,"Front view of a beige relaxed-fit hoodie with tonal embroidery on the chest, a drawstring hood, and a kangaroo pocket."
982349,196924009823,Tweed Sleeveless Mini Dress,Maison Onyx,Women,Apparel,Dress,Classic Collection,Medium,White/Black,#F5F5F5,Tweed,Sheath,180,450,495,"A timeless sleeveless mini dress crafted from classic tweed, featuring contrasting black trim and elegant button embellishments.","Embody Parisian chic with this exquisite sleeveless mini dress. Meticulously crafted from a luxurious white and black tweed fabric, this piece showcases the brand's iconic aesthetic. It features a flattering sheath silhouette, a round neckline, and contrasting black trim along the neck, armholes, waist, pockets, and hem. Ornate silver-tone buttons adorn the faux chest pockets, hip pockets, and shoulders, adding a touch of opulence. This dress is a perfect choice for sophisticated day-to-evening wear.",https://storage.googleapis.com/<your-artifacts-bucket>/products/982349.png,White and black tweed sleeveless mini dress with button details.
343485,840345123456,Embellished Tweed Sheath Dress,Maison Onyx,Women,Apparel,Dress,Fall/Winter 2023,Medium,Black/White Multi,#FFFFFF,Tweed,Sheath,312.75,450,495,"A beautifully crafted tweed mini dress featuring a black and white pattern with sparkling embellishments. This sheath dress has a classic crew neck and short sleeves, perfect for a sophisticated and polished look.","Exude timeless elegance with this Embellished Tweed Sheath Dress. Expertly tailored from a rich, textured tweed fabric, this piece showcases a sophisticated black and white pattern interwoven with subtle metallic threads for a hint of shimmer. The dress is designed in a flattering sheath silhouette that hugs the body gracefully. It features a classic crew neckline, short sleeves, and is accented with intricate beaded and frayed trim along the collar, cuffs, defined waistline, and hem. This dress is a perfect choice for formal events, business meetings, or any occasion where you want to make a chic statement.",https://storage.googleapis.com/<your-artifacts-bucket>/products/343485.png,"A short-sleeved tweed mini dress in black and white with embellished trim along the crew neck, cuffs, waist, and faux pocket details."
119283,850051234567,Pearl-Collar Sleeveless Sheath Dress,Maison Onyx,Women,Apparel,Dress,Cocktail & Evening Collection,Medium,Black,#000000,Crepe,Sheath Fit,85.5,179.99,198,An elegant sleeveless black sheath dress featuring a sophisticated pearl-embellished jewel neckline. Perfect for formal events and cocktail parties.,"Exude timeless sophistication in our Pearl-Collar Sleeveless Sheath Dress. Tailored to perfection, this classic black dress features a flattering sheath silhouette that skims the body beautifully. The standout detail is the exquisite pearl-embellished jewel neckline, adding a touch of luxury and eliminating the need for a necklace. Crafted from a high-quality crepe fabric with a hint of stretch for comfort, it's fully lined and fastens with a concealed back zipper. A versatile and chic addition to any wardrobe, this dress is ideal for cocktail hours, weddings, or any formal occasion where you want to make a lasting impression.",https://storage.googleapis.com/<your-artifacts-bucket>/products/119283.png,"Sleeveless black sheath dress with a pearl-embellished jewel neckline, front view."
192838,194567890123,Sleeveless Tweed Mini Dress with Contrast Trim,Modern Muse,Women,Apparel,Dress,Pre-Fall 2023,Medium,Cream/Black,#F5F5DC,Tweed,Shift,198.75,445,445,"A timelessly chic sleeveless mini dress crafted from textured tweed, featuring elegant black contrast trim and four patch pockets for a touch of classic sophistication.","This beautifully constructed shift dress channels classic Parisian elegance. Made from a high-quality cream-colored tweed, it offers both texture and structure. The sleeveless design is complemented by bold black trim along the round neck and armholes. Four patch pockets, two at the chest and two at the hips, are also accented with black trim and finished with ornate silver-tone buttons. A concealed back zipper provides a clean, tailored fit. This versatile piece is perfect for transitioning from a daytime meeting to an evening event with effortless style.",https://storage.googleapis.com/<your-artifacts-bucket>/products/192838.png,"A sleeveless cream tweed mini dress with black contrast trim on the neckline, armholes, and four front patch pockets with silver buttons."
999039,197855034921,Abstract Print Cowl Neck Slip Dress,Maison Onyx,Women,Apparel,Dress,Summer Pop Collection,Medium,Multi-Color,#0047AB,Satin,Slim,28.5,59.99,75,"A stunning slip dress with a cowl neckline and a vibrant, multi-colored abstract print. Made from a silky satin material.","Make a bold statement with our Abstract Print Cowl Neck Slip Dress. This eye-catching piece features a flattering cowl neckline and delicate spaghetti straps. The smooth satin fabric drapes beautifully over the body in a slim-fit silhouette. The energetic, multi-colored abstract pattern in shades of blue, green, pink, and orange ensures you'll stand out in any crowd. Perfect for a night out or a special occasion.",https://storage.googleapis.com/<your-artifacts-bucket>/products/999039.png,"A multi-colored slip dress with a cowl neck and spaghetti straps, featuring a vibrant abstract geometric pattern."
443323,198765432109,Ruby Red Silk Cowl Neck Slip Dress,Maison Onyx,Women,Apparel,Dress,Evening Elegance,Medium,Ruby Red,#9B111E,Silk,Slim Fit,120.5,249.99,295,"An elegant ruby red slip dress crafted from lustrous silk, featuring a graceful cowl neckline and delicate spaghetti straps.","Make a stunning entrance in our Ruby Red Silk Cowl Neck Slip Dress. Cut on the bias from pure, fluid silk, this dress skims your figure for a flattering, slim fit. The elegant cowl neckline adds a touch of classic glamour, while the delicate spaghetti straps provide a minimalist finish. Falling to a sophisticated midi length, this piece is perfect for cocktail parties, weddings, or any special occasion where you want to feel effortlessly chic. Its rich ruby hue is both timeless and captivating.",https://storage.googleapis.com/<your-artifacts-bucket>/products/443323.png,Front view of a ruby red silk slip dress with a cowl neckline and spaghetti straps on a white background.
733344,198765432109,Psychedelic Swirl Mesh Long-Sleeve Top,Neon & Co.,Women,Apparel,Top,Art Pop,Medium,Multicolor,#D63A3A,Mesh,Slim Fit,45.5,99.99,125,"A vibrant, long-sleeve mesh top featuring a bold psychedelic print. Perfect for layering or as a statement piece.","Make a statement with this eye-catching long-sleeve top. Crafted from lightweight, breathable mesh, it offers a comfortable, body-hugging slim fit. The top is adorned with a dynamic and colorful abstract print, featuring swirls, checks, and geometric shapes in a palette of red, blue, yellow, and black. With a classic crew neck and full-length sleeves, this piece is perfect for layering under a jacket or over a bralette to create a bold, artistic look for any occasion.",https://storage.googleapis.com/<your-artifacts-bucket>/products/733344.png,"Front view of a women's long-sleeve mesh top with a colorful, abstract swirl and geometric pattern."
735634,840345123456,Metallic Halter Cowl Neck Midi Dress,Maison Onyx,Women,Apparel,Dress,Midnight Shimmer,Medium,Gunmetal,#848482,Metallic Lurex Blend,Slim Fit,58.5,119.99,148,A stunning gunmetal metallic midi dress featuring an elegant halter neckline and a flattering cowl front. Perfect for evening events and special occasions.,"Command attention in this exquisite Metallic Halter Cowl Neck Midi Dress. Expertly crafted from a shimmering lurex blend, this dress is designed to catch the light from every angle. It features a sophisticated halter neck that ties at the back and a gracefully draped cowl neckline that adds a touch of classic glamour. The slim-fit silhouette hugs your figure before falling to an elegant midi length, creating a sleek and modern look. Whether you're attending a cocktail party or a formal dinner, this dress is your go-to for making a memorable statement.",https://storage.googleapis.com/<your-artifacts-bucket>/products/735634.png,"A women's gunmetal metallic midi dress with a halter neckline and a draped cowl front, shown on a white background."
595544,840293117541,Breton Stripe Button-Cuff Sweater,Modern Muse,Women,Apparel,Top,Nautical Classics,Medium,Navy/Cream,#1A2238,Cotton Blend,Slim Fit,55,110,128,A classic Breton stripe sweater featuring a slim fit and elegant gold-tone button details on the cuffs. A timeless piece for any wardrobe.,"Embrace timeless nautical charm with our Breton Stripe Button-Cuff Sweater. Crafted from a comfortable cotton blend, this sweater offers a flattering slim fit that's perfect for layering. It features classic navy and cream stripes, a simple crew neckline, and is elevated by solid navy cuffs adorned with decorative gold-tone buttons. This versatile top can be dressed up with trousers or paired with your favorite jeans for a chic, casual look.",https://storage.googleapis.com/<your-artifacts-bucket>/products/595544.png,"A women's long-sleeve sweater with navy and cream horizontal stripes, a crew neck, and solid navy cuffs with three gold buttons."
524146,840344152871,Faux Leather Corset Mini Dress,Maison Onyx,Women,Apparel,Dress,After Hours,Medium,Chocolate Brown,#4d2e2e,Faux Leather,Slim Fit,38.5,79.99,98,"A captivating faux leather mini dress designed with a structured corset bodice and a sleek, body-hugging silhouette.","Command attention in this stunning Faux Leather Corset Mini Dress. Crafted from a supple, high-quality faux leather in a rich chocolate brown hue, this piece is a modern essential for any bold wardrobe. The dress features a structured corset bodice with defined cups and boning details to create a flattering, sculpted shape. Wide shoulder straps and a square neckline add a contemporary touch, while the slim-fit mini skirt elongates the legs. Perfect for a night out on the town or a special event.",https://storage.googleapis.com/<your-artifacts-bucket>/products/524146.png,"A women's chocolate brown faux leather mini dress with a corset-style bodice and thick straps, shown on a white background."
643575,850024567890,Psychedelic Swirl Cowl Neck Mini Dress,Maison Onyx,Women,Apparel,Dress,70s Revival,Medium,Sunset Swirl,#F9A825,Satin,Slim Fit,28.5,65,78,"A vibrant mini slip dress featuring a 70s-inspired psychedelic swirl print, a flattering cowl neckline, and a slim, body-skimming fit.","Step back in time with our Psychedelic Swirl Cowl Neck Mini Dress. Made from a silky satin material, this dress features a bold and colorful swirl pattern in hues of orange, purple, blue, and yellow. The design includes a chic cowl neck and delicate, adjustable spaghetti straps. Its slim-fit silhouette flatters your figure, making it the perfect statement piece for parties, festivals, or a night out on the town.",https://storage.googleapis.com/<your-artifacts-bucket>/products/643575.png,"A women's mini slip dress with a colorful psychedelic swirl pattern, cowl neckline, and thin spaghetti straps."
